"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'brushed'	(('VBD', 0.5), ('VBN', 0.5))
'brushes'	(('NNS', 1.0),)
'brushing'	(('VBG', 1.0),)
'brushoff'	(('NN', 1.0),)
'brussels'	(('NNP', 0.9524), ('NNS', 0.0476))
'brutal'	(('JJ', 1.0),)
'brutality'	(('NN', 1.0),)
'brutally'	(('RB', 1.0),)
'brute'	(('JJ', 1.0),)
'brutish'	(('JJ', 1.0),)
'bruwer'	(('NNP', 1.0),)
'bruyette'	(('NNP', 1.0),)
'bryan'	(('NNP', 1.0),)
'bryant'	(('NNP', 1.0),)
'bryner'	(('NNP', 1.0),)
'bsb'	(('NNP', 1.0),)
'bsn'	(('NNP', 1.0),)
'bt'	(('NNP', 1.0),)
'bubble'	(('NN', 1.0),)
'bubblelike'	(('JJ', 1.0),)
'bucaramanga'	(('NNP', 1.0),)
'buccaneers'	(('NNS', 1.0),)
'buchanan'	(('NNP', 1.0),)
'buchner'	(('NNP', 1.0),)
'buchwald'	(('NNP', 1.0),)
'buck'	(('NN', 0.4444), ('NNP', 0.3333), ('VB', 0.1111), ('VBP', 0.1111))
'bucked'	(('VBD', 1.0),)
'bucket'	(('NN', 1.0),)
'buckets'	(('NNS', 1.0),)
'bucking'	(('VBG', 1.0),)
'buckingham'	(('NNP', 1.0),)
'buckle'	(('VB', 1.0),)
'buckled'	(('JJ', 0.6667), ('VBD', 0.3333))
'buckles'	(('NNP', 1.0),)
'buckley'	(('NNP', 1.0),)
'buckling'	(('VBG', 1.0),)
'bucknell'	(('NNP', 1.0),)
'bucks'	(('NNS', 0.6667), ('VBZ', 0.3333))
'buckshot'	(('NN', 1.0),)
'bud'	(('NNP', 1.0),)
'budapest'	(('NNP', 1.0),)
'buddies'	(('NNS', 1.0),)
'budding'	(('VBG', 0.75), ('JJ', 0.25))
'buddy'	(('NNP', 0.75), ('NN', 0.25))
'budge'	(('VB', 1.0),)
'budged'	(('VBN', 1.0),)
'budget'	(('NN', 0.8531), ('NNP', 0.1469))
'budget-cutting'	(('NN', 1.0),)
'budget-priced'	(('JJ', 1.0),)
'budget-reduction'	(('JJ', 1.0),)
'budgetary'	(('JJ', 1.0),)
'budgeted'	(('VBN', 1.0),)
'budgeteers'	(('NNS', 1.0),)
'budgeting'	(('NN', 0.6667), ('NNP', 0.3333))
'budgets'	(('NNS', 1.0),)
'buds'	(('NNS', 1.0),)
'budweiser'	(('NNP', 1.0),)
'buell'	(('NNP', 1.0),)
'buente'	(('NNP', 1.0),)
'buffalo'	(('NNP', 1.0),)
'buffer'	(('NN', 0.6), ('VB', 0.4))
'buffet'	(('NN', 0.6667), ('VB', 0.3333))
'buffeted'	(('VBN', 1.0),)
'buffets'	(('NNS', 1.0),)
'buffett'	(('NNP', 1.0),)
'buffetting'	(('NN', 1.0),)
'buffs'	(('NNS', 1.0),)
'bufton'	(('NNP', 1.0),)
'bug'	(('NN', 1.0),)
'bugaboo'	(('NN', 1.0),)
'bugless'	(('JJ', 1.0),)
'buglike'	(('JJ', 1.0),)
'bugs'	(('NNS', 1.0),)
'buhrmann-tetterode'	(('NNP', 1.0),)
'buick'	(('NNP', 1.0),)
'build'	(('VB', 0.9055), ('VBP', 0.0866), ('VBN', 0.0079))
'builder'	(('NN', 1.0),)
'builders'	(('NNS', 0.8462), ('NNPS', 0.1538))
'building'	(('NN', 0.6575), ('VBG', 0.2831), ('NNP', 0.0594))
'building-materials'	(('NNS', 1.0),)
'building-products'	(('NNS', 1.0),)
'building-related'	(('JJ', 1.0),)
'building-society'	(('JJ', 1.0),)
'buildings'	(('NNS', 1.0),)
'builds'	(('VBZ', 1.0),)
'buildup'	(('NN', 1.0),)
'built'	(('VBN', 0.8588), ('VBD', 0.1412))
'built-in'	(('JJ', 0.8), ('NN', 0.2))
'buksbaum'	(('NNP', 1.0),)
'bulb'	(('NN', 1.0),)
'bulbs'	(('NNS', 1.0),)
'bulgaria'	(('NNP', 1.0),)
'bulgarian'	(('JJ', 1.0),)
'bulgarians'	(('NNPS', 1.0),)
'bulging'	(('VBG', 1.0),)
'bulk'	(('NN', 0.7241), ('JJ', 0.2759))
'bulk-chemical'	(('NN', 0.5), ('JJ', 0.5))
'bulk-mail'	(('NN', 1.0),)
'bulked-up'	(('JJ', 1.0),)
'bulkheads'	(('NNS', 1.0),)
'bulky'	(('JJ', 1.0),)
'bull'	(('NN', 0.6923), ('NNP', 0.3077))
'bull-market'	(('NN', 1.0),)
'bulldozed'	(('VBN', 1.0),)
'bulldozer'	(('NN', 1.0),)
'bulldozers'	(('NNS', 1.0),)
'bullet'	(('NN', 1.0),)
'bullet-proof'	(('JJ', 1.0),)
'bulletin'	(('NN', 0.6667), ('NNP', 0.3333))
'bulletins'	(('NNS', 1.0),)
'bullets'	(('NNS', 1.0),)
'bullhorn'	(('NN', 1.0),)
'bullhorns'	(('NNS', 1.0),)
'bullied'	(('VBD', 1.0),)
'bullies'	(('VBZ', 1.0),)
'bullion'	(('NN', 0.8571), ('NNP', 0.1429))
'bullish'	(('JJ', 1.0),)
'bullishly'	(('RB', 1.0),)
'bullishness'	(('NN', 1.0),)
'bullock'	(('NNP', 1.0),)
'bullocks'	(('NNP', 1.0),)
'bulls'	(('NNS', 0.8333), ('NNPS', 0.1667))
'bully'	(('NN', 1.0),)
'bulseco'	(('NNP', 1.0),)
'bulwark'	(('NN', 1.0),)
'bum'	(('NNP', 1.0),)
'bumble'	(('VB', 0.5), ('VBP', 0.5))
'bumbling'	(('VBG', 1.0),)
'bumiputra'	(('NNP', 1.0),)
'bump'	(('VB', 0.5), ('NN', 0.5))
'bumped'	(('VBD', 0.5), ('VBN', 0.5))
'bumper'	(('NN', 1.0),)
'bumper-to-bumper'	(('JJ', 1.0),)
'bumpers'	(('NNP', 1.0),)
'bumps'	(('NNS', 1.0),)
'bumpy'	(('JJ', 1.0),)
'bums'	(('NNS', 1.0),)
'bunch'	(('NN', 1.0),)
'bunco'	(('NN', 1.0),)
'bundesbank'	(('NNP', 1.0),)
'bundle'	(('NN', 1.0),)
'bundled'	(('VBN', 1.0),)
'bundles'	(('NNS', 1.0),)
'bundy'	(('NNP', 1.0),)
'bungled'	(('VBN', 1.0),)
'bunker'	(('NNP', 1.0),)
'bunko-forgery'	(('NN', 1.0),)
'bunny'	(('NN', 0.6), ('NNP', 0.4))
'bunt'	(('NN', 1.0),)
'bunting'	(('NNP', 1.0),)
'buoy'	(('VB', 1.0),)
'buoyant'	(('JJ', 1.0),)
'buoyed'	(('VBN', 0.8182), ('VBD', 0.1818))
'buoying'	(('VBG', 1.0),)
'buoys'	(('VBZ', 1.0),)
'burbank'	(('NNP', 1.0),)
'burbles'	(('VBZ', 1.0),)
'burch'	(('NNP', 1.0),)
'burden'	(('NN', 1.0),)
'burden-sharing'	(('NN', 1.0),)
'burdened'	(('VBN', 0.8), ('VBD', 0.2))
'burdens'	(('NNS', 0.8571), ('VBZ', 0.1429))
'burdensome'	(('JJ', 1.0),)
'bureacratic'	(('JJ', 1.0),)
'bureau'	(('NNP', 0.5571), ('NN', 0.4429))
'bureau-sponsored'	(('JJ', 1.0),)
'bureaucracies'	(('NNS', 1.0),)
'bureaucracy'	(('NN', 1.0),)
'bureaucrat'	(('NN', 1.0),)
'bureaucratic'	(('JJ', 1.0),)
'bureaucrats'	(('NNS', 1.0),)
'bureaus'	(('NN', 0.5), ('NNPS', 0.1667), ('NNP', 0.1667), ('NNS', 0.1667))
'burford'	(('NNP', 1.0),)
'burgee'	(('NNP', 1.0),)
'burgeoning'	(('VBG', 1.0),)
'burger'	(('NNP', 0.8462), ('NN', 0.1538))
'burgers'	(('NNS', 1.0),)
'burgess'	(('NNP', 1.0),)
'burglaries'	(('NNS', 1.0),)
'burglarized'	(('VBN', 1.0),)
'burglary'	(('NN', 1.0),)
'burgs'	(('NNS', 1.0),)
'burial'	(('NN', 1.0),)
'burials'	(('NNS', 1.0),)
'buried'	(('VBN', 0.9091), ('VBD', 0.0909))
'burk'	(('NNP', 1.0),)
'burke'	(('NNP', 1.0),)
'burkina'	(('NNP', 1.0),)
'burlesque'	(('JJ', 1.0),)
'burlingame'	(('NNP', 1.0),)
'burlington'	(('NNP', 1.0),)
'burly'	(('JJ', 1.0),)
'burmah'	(('NNP', 1.0),)
'burn'	(('VB', 0.75), ('VBP', 0.25))
'burned'	(('VBN', 0.7), ('VBD', 0.2), ('JJ', 0.1))
'burner'	(('NN', 1.0),)
'burnham'	(('NNP', 1.0),)
'burning'	(('NN', 0.7143), ('VBG', 0.2857))
'burnishing'	(('VBG', 1.0),)
'burnout'	(('NN', 1.0),)
'burnouts'	(('NNS', 1.0),)
'burns'	(('NNP', 0.5833), ('NNS', 0.3333), ('VBZ', 0.0833))
'burnsville'	(('NNP', 1.0),)
'burnt'	(('JJ', 0.6667), ('VBN', 0.3333))
'burr'	(('NNP', 1.0),)
'burrillville'	(('NNP', 1.0),)
'burroughs'	(('NNP', 1.0),)
'burry'	(('NNP', 1.0),)
'burst'	(('NN', 0.875), ('VBP', 0.125))
'bursting'	(('VBG', 1.0),)
'bursts'	(('NNS', 0.875), ('VBZ', 0.125))
'burt'	(('NNP', 1.0),)
'burton'	(('NNP', 1.0),)
'bury'	(('VB', 0.5), ('VBP', 0.5))
'burying'	(('VBG', 1.0),)
'burzon'	(('NNP', 1.0),)
'bus'	(('NN', 0.9412), ('NNP', 0.0588))
'busch'	(('NNP', 1.0),)
'buses'	(('NNS', 1.0),)
'bush'	(('NNP', 1.0),)
'bushel'	(('NN', 1.0),)
'bushels'	(('NNS', 1.0),)
'bushes'	(('NNS', 1.0),)
'bushy'	(('JJ', 1.0),)
'busier'	(('JJR', 1.0),)
'busies'	(('NNS', 1.0),)
'busiest'	(('JJS', 1.0),)
'busily'	(('RB', 1.0),)
'business'	(('NN', 0.9016), ('NNP', 0.0984))
'business-as-usual'	(('JJ', 1.0),)
'business-class'	(('JJ', 1.0),)
'business-communications'	(('NNS', 1.0),)
'business-judgment'	(('NN', 1.0),)
'business-like'	(('JJ', 1.0),)
'business-machines'	(('NNS', 1.0),)
'business-partners'	(('NNS', 1.0),)
'business-related'	(('JJ', 1.0),)
'business-telephone'	(('JJ', 1.0),)
'business-to-business'	(('NN', 0.6667), ('JJ', 0.3333))
'business-venture'	(('JJ', 1.0),)
'businesses'	(('NNS', 1.0),)
'businessland'	(('NNP', 1.0),)
'businesslike'	(('JJ', 1.0),)
'businessman'	(('NN', 1.0),)
'businessmen'	(('NNS', 1.0),)
'businesspeople'	(('NN', 1.0),)
'businesswoman'	(('NN', 1.0),)
'busload'	(('NN', 1.0),)
'bussieres'	(('NNP', 1.0),)
'bust'	(('NN', 1.0),)
'busted'	(('JJ', 0.3333), ('VBD', 0.3333), ('VBN', 0.3333))
'buster'	(('NN', 0.5), ('NNP', 0.5))
'busting'	(('VBG', 1.0),)
'bustle'	(('NN', 1.0),)
'bustling'	(('JJ', 1.0),)
'busts'	(('NNS', 1.0),)
'busy'	(('JJ', 1.0),)
'but'	(('CC', 0.9962), ('IN', 0.0023), ('RB', 0.0012), ('NNP', 0.0003))
'butane'	(('NN', 1.0),)
'butch'	(('NNP', 1.0),)
'butcher'	(('NN', 0.6667), ('NNP', 0.3333))
'butler'	(('NN', 0.6667), ('NNP', 0.3333))
'butlers'	(('NNS', 1.0),)
'butt'	(('NN', 0.6667), ('VB', 0.3333))
'butte'	(('NNP', 1.0),)
'butter'	(('NN', 1.0),)
'butter-nut'	(('NNP', 1.0),)
'butterfat'	(('NN', 1.0),)
'butterfinger'	(('NNP', 1.0),)
'butterflies'	(('NNS', 1.0),)
'butterfly'	(('NN', 1.0),)
'button'	(('NN', 1.0),)
'buttoned-down'	(('JJ', 1.0),)
'buttoned-up'	(('JJ', 1.0),)
'buttons'	(('NNS', 1.0),)
'buttress'	(('VB', 1.0),)
'buttressed'	(('VBN', 1.0),)
'buttresses'	(('VBZ', 1.0),)
'butz'	(('NNP', 1.0),)
'buy'	(('VB', 0.8217), ('VBP', 0.0978), ('NN', 0.0609), ('JJ', 0.0196))
'buy-and-hold'	(('JJ', 0.8), ('CD', 0.2))
'buy-back'	(('NN', 0.8125), ('JJ', 0.1562), ('VB', 0.0312))
'buy-backs'	(('NNS', 1.0),)
'buy-now'	(('JJ', 1.0),)
'buy-out'	(('NN', 0.9457), ('JJ', 0.0543))
'buy-outs'	(('NNS', 1.0),)
'buy-sell'	(('JJ', 1.0),)
'buy-stop'	(('JJ', 1.0),)
'buy\\/hold'	(('JJ', 1.0),)
'buyback'	(('NN', 0.5), ('JJ', 0.5))
'buyer'	(('NN', 0.96), ('NNP', 0.04))
'buyers'	(('NNS', 1.0),)
'buying'	(('VBG', 0.6211), ('NN', 0.3649), ('NNP', 0.0105), ('JJ', 0.0035))
'buyings'	(('NNS', 1.0),)
'buyout'	(('NN', 1.0),)
'buyouts'	(('NNS', 1.0),)
'buys'	(('VBZ', 0.9474), ('NNS', 0.0526))
'buzz'	(('NN', 0.5), ('VB', 0.25), ('JJ', 0.25))
'buzzell'	(('NNP', 1.0),)
'buzzer'	(('NN', 1.0),)
'buzzes'	(('VBZ', 1.0),)
'buzzing'	(('VBG', 1.0),)
'buzzsaw'	(('NN', 1.0),)
'buzzword'	(('NN', 1.0),)
'buzzwords'	(('NNS', 1.0),)
'buzzy'	(('NNP', 1.0),)
'by'	(('IN', 0.997), ('RP', 0.0022), ('RB', 0.0006), ('NNP', 0.0002))
'byelorussia'	(('NNP', 1.0),)
'bylaws'	(('NNS', 1.0),)
'byler'	(('NNP', 1.0),)
'bylines'	(('NNS', 1.0),)
'bynoe'	(('NNP', 1.0),)
'bypass'	(('VB', 0.5), ('NN', 0.5))
'byrd'	(('NNP', 1.0),)
'byrne'	(('NNP', 1.0),)
'byron'	(('NNP', 1.0),)
'byrum'	(('NNP', 1.0),)
'bystanders'	(('NNS', 1.0),)
'byzantine'	(('JJ', 1.0),)
'c$'	(('$', 1.0),)
'c&d'	(('NNP', 1.0),)
'c&p'	(('NNP', 1.0),)
'c'	(('NNP', 0.5263), ('SYM', 0.3158), ('LS', 0.0526), ('NN', 0.0526), ('$', 0.0526))
'c-12'	(('NN', 1.0),)
'c-17'	(('NN', 1.0),)
'c-5b'	(('NN', 1.0),)
'c-s'	(('NNP', 1.0),)
'c-span'	(('NNP', 1.0),)
'c-word'	(('NN', 1.0),)
'c-yields'	(('NNS', 1.0),)
'c.'	(('NNP', 1.0),)
'c.b.'	(('NNP', 1.0),)
'c.d.s'	(('NNS', 0.9), ('NNPS', 0.1))
'c.i.f'	(('JJ', 1.0),)
'c.j.'	(('NNP', 1.0),)
'c.r.'	(('NNP', 1.0),)
'c.w.'	(('NNP', 1.0),)
'ca'	(('MD', 0.9949), ('JJ', 0.0051))
'caa'	(('JJ', 0.5), ('NNP', 0.5))
'caac'	(('NNP', 1.0),)
'cab'	(('NN', 1.0),)
'cabal'	(('NN', 1.0),)
'cabanne'	(('NNP', 1.0),)
'cabbage'	(('NNP', 1.0),)
'cabinet'	(('NN', 0.7857), ('NNP', 0.2143))
'cabinets'	(('NNS', 1.0),)
'cable'	(('NN', 0.7412), ('NNP', 0.2588))
'cable-programming'	(('JJ', 1.0),)
'cable-television'	(('NN', 1.0),)
'cable-tv'	(('NN', 1.0),)
'cables'	(('NNS', 1.0),)
'cablevision'	(('NNP', 1.0),)
'cabrera'	(('NNP', 1.0),)
'cache'	(('NN', 1.0),)
'caches'	(('NNS', 1.0),)
'cachet'	(('NN', 1.0),)
'caci'	(('NNP', 1.0),)
'cadbury'	(('NNP', 1.0),)
'cadbury-schweppes'	(('NNP', 1.0),)
'caddyshack'	(('NNP', 1.0),)
'cadet'	(('NN', 1.0),)
'cadets'	(('NNS', 1.0),)
'cadge'	(('VBP', 1.0),)
'cadillac'	(('NNP', 0.8333), ('NN', 0.1667))
'cadwell'	(('NNP', 1.0),)
'cae'	(('NNP', 1.0),)
'caere'	(('NNP', 1.0),)
'caesarean'	(('JJ', 1.0),)
'caesars'	(('NNP', 1.0),)
'cafe'	(('NN', 0.6667), ('NNP', 0.3333))
'cafes'	(('NNS', 1.0),)
'cafeteria'	(('NN', 1.0),)
'caffeine-free'	(('JJ', 1.0),)
'cage'	(('NN', 0.6667), ('NNP', 0.3333))
'cahoon'	(('NNP', 1.0),)
'cairenes'	(('NNPS', 1.0),)
'cairo'	(('NNP', 0.9), ('NN', 0.1))
'caisse'	(('NNP', 1.0),)
'caitlin'	(('NNP', 1.0),)
'cake'	(('NN', 1.0),)
'caked'	(('VBD', 1.0),)
'calabasas'	(('NNP', 1.0),)
'calamitous'	(('JJ', 1.0),)
'calamity'	(('NN', 1.0),)
'calaveras'	(('NNS', 1.0),)
'calcium'	(('NN', 1.0),)
'calculate'	(('VB', 1.0),)
'calculated'	(('VBN', 0.8519), ('JJ', 0.1111), ('VBD', 0.037))
'calculates'	(('VBZ', 1.0),)
'calculating'	(('VBG', 1.0),)
'calculation'	(('NN', 1.0),)
'calculations'	(('NNS', 1.0),)
'calculator'	(('NN', 1.0),)
'calculator-toting'	(('JJ', 1.0),)
'calculators'	(('NNS', 1.0),)
'calderwood'	(('NNP', 1.0),)
'caldwell'	(('NNP', 1.0),)
'caleb'	(('NNP', 1.0),)
'calendar'	(('NN', 1.0),)
'calfed'	(('NNP', 1.0),)
'calgary'	(('NNP', 1.0),)
'calgary-based'	(('JJ', 1.0),)
'calgene'	(('NNP', 1.0),)
'calgon'	(('NNP', 1.0),)
'calibrated'	(('VBN', 1.0),)
'calif'	(('NNP', 1.0),)
'calif.'	(('NNP', 1.0),)
'calif.-based'	(('JJ', 1.0),)
'california'	(('NNP', 0.9969), ('JJ', 0.0031))
'california-backed'	(('JJ', 1.0),)
'california-based'	(('JJ', 1.0),)
'california-bashing'	(('JJ', 1.0),)
'californians'	(('NNPS', 0.7778), ('NNS', 0.2222))
'calisto'	(('NNP', 1.0),)
'call'	(('VB', 0.3986), ('NN', 0.3077), ('VBP', 0.1818), ('JJ', 0.0699), ('NNP', 0.042))
'call-in'	(('NN', 1.0),)
'callable'	(('JJ', 1.0),)
'callas'	(('NNP', 1.0),)
'called'	(('VBN', 0.5236), ('VBD', 0.473), ('VB', 0.0034))
'callender'	(('NNP', 1.0),)
'caller'	(('NN', 1.0),)
'callers'	(('NNS', 1.0),)
'calling'	(('VBG', 0.8837), ('NN', 0.1163))
'calliope'	(('NNP', 1.0),)
'callipygous'	(('NN', 1.0),)
'calloway'	(('NNP', 1.0),)
'calls'	(('VBZ', 0.5948), ('NNS', 0.3987), ('NNPS', 0.0065))
'callum'	(('NNP', 1.0),)
'calm'	(('JJ', 0.4286), ('VB', 0.2857), ('NN', 0.2857))
'calmat'	(('NNP', 0.75), ('NN', 0.25))
'calmed'	(('VBN', 1.0),)
'calmer'	(('JJR', 1.0),)
'calming'	(('JJ', 0.5), ('VBG', 0.5))
'calmness'	(('NN', 1.0),)
'calor'	(('NNP', 1.0),)
'calories'	(('NNS', 1.0),)
'caltech'	(('NNP', 1.0),)
'caltrans'	(('NNP', 0.8889), ('NNS', 0.1111))
'calverley'	(('NNP', 1.0),)
'calvert'	(('NNP', 1.0),)
'calves'	(('NNS', 1.0),)
'calvi'	(('NNP', 1.0),)
'camaraderie'	(('NN', 1.0),)
'cambodia'	(('NNP', 1.0),)
'cambodian'	(('JJ', 1.0),)
'cambodians'	(('NNPS', 1.0),)
'cambrex'	(('NNP', 1.0),)
'cambria'	(('NNP', 1.0),)
'cambrian'	(('NNP', 1.0),)
'cambridge'	(('NNP', 1.0),)
'camden'	(('NNP', 1.0),)
'came'	(('VBD', 1.0),)
'camel'	(('NNP', 1.0),)
'cameo'	(('NN', 1.0),)
'camera'	(('NN', 0.9375), ('NNP', 0.0625))
'cameras'	(('NNS', 1.0),)
'camerino'	(('NNP', 1.0),)
'camille'	(('NNP', 1.0),)
'camilo'	(('NNP', 1.0),)
'cammack'	(('NNP', 1.0),)
'camouflage'	(('NN', 1.0),)
'camouflaged'	(('VBN', 1.0),)
'camp'	(('NN', 0.5), ('NNP', 0.5))
'campaign'	(('NN', 0.9826), ('NNP', 0.0174))
'campaigned'	(('VBN', 1.0),)
'campaigning'	(('NN', 0.6667), ('VBG', 0.3333))
'campaigns'	(('NNS', 1.0),)
'campaneris'	(('NNP', 1.0),)
'campbell'	(('NNP', 1.0),)
'campbell-mithun'	(('NNP', 1.0),)
'campbell-mithun-esty'	(('NNP', 1.0),)
'campeau'	(('NNP', 0.9516), ('NN', 0.0484))
'campeau-related'	(('JJ', 1.0),)
'campers'	(('NNS', 1.0),)
'campion'	(('NNP', 1.0),)
'campo'	(('NNP', 1.0),)
'camps'	(('NNS', 1.0),)
'campus'	(('NN', 1.0),)
'campuses'	(('NNS', 1.0),)
'camry'	(('NNP', 1.0),)
'can'	(('MD', 0.9968), ('NN', 0.0032))
'canaan'	(('NNP', 1.0),)
'canada'	(('NNP', 1.0),)
'canada-u.s.'	(('NNP', 1.0),)
'canadian'	(('JJ', 0.7972), ('NNP', 0.1958), ('NN', 0.007))
'canadian-u.s.'	(('JJ', 1.0),)
'canadians'	(('NNPS', 1.0),)
'canal'	(('NN', 0.6), ('NNP', 0.4))
'canals'	(('NNS', 1.0),)
'cananea'	(('NNP', 1.0),)
'canaveral'	(('NNP', 1.0),)
'canberra'	(('NNP', 1.0),)
'cancel'	(('VB', 1.0),)
'canceled'	(('VBN', 0.7333), ('VBD', 0.2333), ('JJ', 0.0333))
'cancellation'	(('NN', 1.0),)
'cancellations'	(('NNS', 1.0),)
'cancels'	(('VBZ', 1.0),)
'cancer'	(('NN', 0.81), ('NNP', 0.19))
'cancer-causing'	(('JJ', 1.0),)
'cancer-gene'	(('JJ', 1.0),)
'cancer-suppressing'	(('JJ', 1.0),)
'cancer-suppressors'	(('NNS', 1.0),)
'cancer-susceptible'	(('JJ', 1.0),)
'cancerous'	(('JJ', 1.0),)
'cancers'	(('NNS', 1.0),)
'candace'	(('NNP', 1.0),)
'candice'	(('NNP', 1.0),)
'candid'	(('JJ', 1.0),)
'candidacy'	(('NN', 1.0),)
'candidate'	(('NN', 1.0),)
'candidates'	(('NNS', 1.0),)
'candies'	(('NNS', 1.0),)
'candlelight'	(('NN', 1.0),)
'candles'	(('NNS', 1.0),)
'candlestick'	(('NNP', 1.0),)
'candor'	(('NN', 1.0),)
'candu'	(('NNP', 1.0),)
'candy'	(('NN', 1.0),)
'candybar'	(('NN', 1.0),)
'cane'	(('NNP', 1.0),)
'canellos'	(('NNP', 1.0),)
'canelo'	(('NNP', 1.0),)
'canned'	(('VBN', 0.6667), ('JJ', 0.3333))
'canner'	(('NNP', 1.0),)
'cannes'	(('NNP', 1.0),)
'canning'	(('NN', 0.75), ('VBG', 0.25))
'cannon'	(('NN', 0.5), ('NNP', 0.5))
'canny'	(('JJ', 1.0),)
'cano'	(('NNP', 1.0),)
'canoga'	(('NNP', 1.0),)
'canon'	(('NNP', 1.0),)
'canonie'	(('NNP', 1.0),)
'cans'	(('NNS', 1.0),)
'cant'	(('NN', 1.0),)
'canter'	(('NNP', 1.0),)
'cantobank'	(('NNP', 1.0),)
'canton'	(('NNP', 1.0),)
'cantonal'	(('JJ', 1.0),)
'cantor'	(('NNP', 1.0),)
'canvas'	(('NN', 1.0),)
'canvases'	(('NNS', 1.0),)
'canvassed'	(('VBN', 1.0),)
'canyon'	(('NNP', 1.0),)
'canyons'	(('NNS', 1.0),)
'cap'	(('NN', 0.6129), ('NNP', 0.3226), ('VB', 0.0323), ('VBP', 0.0323))
'capabilities'	(('NNS', 1.0),)
'capability'	(('NN', 1.0),)
'capable'	(('JJ', 1.0),)
'capacitors'	(('NNS', 0.6667), ('NNP', 0.3333))
'capacity'	(('NN', 1.0),)
'capacity-expansion'	(('NN', 0.5), ('JJ', 0.5))
'capcom'	(('NNP', 1.0),)
'cape'	(('NNP', 1.0),)
'capel'	(('NNP', 1.0),)
'capistrano'	(('NNP', 1.0),)
'capita'	(('NN', 0.875), ('NNS', 0.125))
'capital'	(('NN', 0.6004), ('NNP', 0.3825), ('JJ', 0.0171))
'capital-assets'	(('NNS', 1.0),)
'capital-boosting'	(('JJ', 1.0),)
'capital-draining'	(('VBG', 1.0),)
'capital-formation'	(('NN', 1.0),)
'capital-gains'	(('NNS', 0.7671), ('JJ', 0.2192), ('NN', 0.0137))
'capital-gains-cut'	(('JJ', 1.0),)
'capital-goods'	(('NNS', 1.0),)
'capital-improvement'	(('NN', 1.0),)
'capital-market'	(('JJ', 1.0),)
'capital-punishment'	(('NN', 1.0),)
'capital-raising'	(('JJ', 1.0),)
'capital-spending'	(('NN', 0.5), ('JJ', 0.5))
'capital-to-asset'	(('NN', 1.0),)
'capital-to-assets'	(('NNS', 1.0),)
'capitalgains'	(('NNS', 1.0),)
'capitalism'	(('NN', 1.0),)
'capitalist'	(('JJ', 0.7143), ('NN', 0.2857))
'capitalist-exploiters-greedy-american-consumers-global'	(('JJ', 1.0),)
'capitalistic'	(('JJ', 1.0),)
'capitalists'	(('NNS', 0.8182), ('NNPS', 0.1818))
'capitalization'	(('NN', 1.0),)
'capitalize'	(('VB', 1.0),)
'capitalized'	(('VBN', 0.5), ('JJ', 0.3333), ('VBD', 0.1667))
'capitalizing'	(('VBG', 1.0),)
'capitals'	(('NNS', 1.0),)
'capitol'	(('NNP', 0.9565), ('NN', 0.0435))
'capitulated'	(('VBD', 1.0),)
'capped'	(('VBD', 0.56), ('VBN', 0.32), ('JJ', 0.12))
'capping'	(('VBG', 1.0),)
'capra'	(('NNP', 1.0),)
'capri'	(('NNP', 1.0),)
'caprice'	(('NNP', 1.0),)
'capricious'	(('JJ', 1.0),)
'capriciously'	(('RB', 1.0),)
'capriciousness'	(('NN', 1.0),)
'caps'	(('NNS', 1.0),)
'capsules'	(('NNS', 1.0),)
'capt.'	(('NNP', 1.0),)
'captain'	(('NN', 0.8), ('VBP', 0.2))
'captivating'	(('VBG', 1.0),)
'captive'	(('JJ', 1.0),)
'captives'	(('NNS', 1.0),)
'capture'	(('VB', 0.8), ('NN', 0.2))
'captured'	(('VBN', 0.9167), ('VBD', 0.0833))
'capturing'	(('VBG', 1.0),)
'car'	(('NN', 0.9551), ('NNP', 0.0449))
'car-crash'	(('JJ', 1.0),)
'car-dealers'	(('NNS', 1.0),)
'car-happy'	(('JJ', 1.0),)
'car-leasing'	(('NN', 1.0),)
'car-parking'	(('JJ', 1.0),)
'car-rental'	(('JJ', 1.0),)
'cara'	(('NNP', 1.0),)
'caracas'	(('NNP', 1.0),)
'carat'	(('NNP', 0.9167), ('NN', 0.0833))
'carats'	(('NNS', 1.0),)
'carbide'	(('NNP', 1.0),)
'carbide-products'	(('NNS', 1.0),)
'carbon'	(('NN', 0.9167), ('NNP', 0.0833))
'carbon-dioxide'	(('NN', 1.0),)
'carboni'	(('NNP', 1.0),)
'carcinogen'	(('NN', 1.0),)
'carcinogenic'	(('JJ', 1.0),)
'card'	(('NN', 0.8889), ('NNP', 0.1111))
'card-carrying'	(('JJ', 1.0),)
'cardenas'	(('NNP', 1.0),)
'carder'	(('NNP', 1.0),)
'cardholders'	(('NNS', 1.0),)
'cardiac'	(('JJ', 0.75), ('NNP', 0.25))
'cardiac-drug'	(('JJ', 1.0),)
'cardiff'	(('NNP', 1.0),)
'cardigan'	(('NN', 1.0),)
'cardin'	(('NNP', 1.0),)
'cardinal'	(('NNP', 1.0),)
'cardinals'	(('NNPS', 0.5), ('NNS', 0.5))
'cardiovascular'	(('JJ', 0.6), ('NNP', 0.4))
'cards'	(('NNS', 0.9259), ('NNP', 0.0741))
'care'	(('NN', 0.6228), ('NNP', 0.2281), ('VB', 0.0965), ('VBP', 0.0526))
'care-unit'	(('NNP', 1.0),)
